year,round,team_x,team_y,seed.x,bpi.x,qual_win.x,qual_loss.x,qual_win_perc.x,schdl_strngth.x,seed.y,bpi.y,qual_win.y,qual_loss.y,qual_win_perc.y,schdl_strngth.y,location,team_x_win,team
2015,64,Kentucky,Hampton,1,23.9,16,1,0.94,40,16,-3.8,0,4,0,246,"Louisville, KY",TRUE,Kentucky
2015,64,Cincinnati,Purdue,8,8.7,4,4,0.5,80,9,9.9,8,9,0.47,30,"Louisville, KY",TRUE,Cincinnati
2015,64,West Virginia,Buffalo,5,11.5,7,9,0.44,15,12,7.5,0,3,0,111,"Columbus, OH",TRUE,West Virginia
2015,64,Maryland,Valparaiso,4,10.5,9,7,0.56,28,13,5.7,0,1,0,287,"Columbus, OH",TRUE,Maryland
2015,64,Butler,Texas,6,12.8,7,10,0.41,25,11,12.5,3,13,0.19,16,"Pittsburgh, PA",TRUE,Butler
2015,64,Notre Dame,Northeastern,3,15.8,12,5,0.71,20,14,2.6,1,1,0.5,146,"Pittsburgh, PA",TRUE,Notre Dame
2015,64,Wichita State,Indiana,7,13.7,3,3,0.5,98,10,9.7,6,12,0.33,33,"Omaha, NE",TRUE,Wichita State
2015,64,Kansas,New Mexico State,2,14.4,14,7,0.67,2,15,4.5,0,3,0,216,"Omaha, NE",TRUE,Kansas
2015,64,Wisconsin,Coastal Carolina,1,21.7,16,2,0.89,10,16,2.6,0,2,0,318,"Omaha, NE",TRUE,Wisconsin
2015,64,Oregon,Oklahoma State,8,3.6,4,6,0.4,61,9,9.5,5,9,0.36,24,"Omaha, NE",TRUE,Oregon
2015,64,Arkansas,Wofford,5,10,5,6,0.45,59,12,4.2,1,3,0.25,192,"Jacksonville, FL",TRUE,Arkansas
2015,64,North Carolina,Harvard,4,17.8,10,11,0.48,1,13,6.1,0,2,0,127,"Jacksonville, FL",TRUE,North Carolina
2015,64,Xavier,Ole Miss,6,9.5,9,8,0.53,18,11,8.3,5,6,0.45,63,"Jacksonville, FL",TRUE,Xavier
2015,64,Baylor,Georgia State,3,13.6,8,8,0.5,13,14,7.7,1,3,0.25,156,"Jacksonville, FL",FALSE,Georgia State
