year,round,team_x,team_y,seed.x,bpi.x,qual_win.x,qual_loss.x,qual_win_perc.x,schdl_strngth.x,seed.y,bpi.y,qual_win.y,qual_loss.y,qual_win_perc.y,schdl_strngth.y,location,team_x_win,team
2021,64,Gonzaga,Norfolk State,1,21.3,11,1,0.92,72,16,-3.1,0,1,0,302,"Indianapolis, IN",TRUE,Gonzaga
2021,64,Oklahoma,Missouri,8,11,6,9,0.4,36,9,9,6,7,0.46,18,"Indianapolis, IN",TRUE,Oklahoma
2021,64,Creighton,UC Santa Barbara,5,13.1,6,3,0.67,55,12,8.1,0,1,0,186,"Indianapolis, IN",TRUE,Creighton
2021,64,Virginia,Ohio,4,13.9,7,5,0.58,60,13,5.1,1,2,0.33,119,"Indianapolis, IN",FALSE,Ohio
2021,64,USC,Drake,6,14.3,7,6,0.54,48,11,7.3,1,3,0.25,160,"Indianapolis, IN",TRUE,USC
2021,64,Kansas,Eastern Washington,3,12,8,9,0.47,31,14,4,0,3,0,185,"Indianapolis, IN",TRUE,Kansas
2021,64,Oregon,VCU,7,11.2,6,4,0.6,61,10,8.2,3,4,0.43,84,"Indianapolis, IN",TRUE,Oregon
2021,64,Iowa,Grand Canyon,2,17,10,8,0.56,16,15,6.4,0,2,0,225,"Indianapolis, IN",TRUE,Iowa
2021,64,Michigan,Texas Southern,1,17.4,13,3,0.81,15,16,-1.8,0,3,0,194,"West Lafayette, IN",TRUE,Michigan
2021,64,LSU,St. Bonaventure,8,12.6,7,8,0.47,22,9,11.3,1,2,0.33,89,"West Lafayette, IN",TRUE,LSU
2021,64,Colorado,Georgetown,5,13.1,6,5,0.55,63,12,7.1,5,9,0.36,17,"Indianapolis, IN",TRUE,Colorado
2021,64,Florida State,UNC Greensboro,4,12.7,9,5,0.64,39,13,5.4,0,1,0,191,"Indianapolis, IN",TRUE,Florida State
2021,64,Brigham Young,UCLA,6,11.1,1,5,0.17,78,11,11.4,6,7,0.46,28,"Indianapolis, IN",FALSE,UCLA
2021,64,Texas,Abilene Christian,3,12.4,9,7,0.56,23,14,5.8,1,3,0.25,222,"Indianapolis, IN",FALSE,Abilene Christian
2021,64,UConn,Maryland,7,12.5,2,6,0.25,53,10,9.7,5,13,0.28,14,"West Lafayette, IN",FALSE,Maryland
2021,64,Alabama,Iona,2,14.4,9,5,0.64,30,15,1.5,0,2,0,241,"West Lafayette, IN",TRUE,Alabama
2021,64,Baylor,Hartford,1,20.7,14,2,0.88,43,16,-0.5,0,3,0,168,"Indianapolis, IN",TRUE,Baylor
2021,64,North Carolina,Wisconsin,8,11.7,6,10,0.38,21,9,13.2,7,12,0.37,4,"Indianapolis, IN",FALSE,Wisconsin
2021,64,Villanova,Winthrop,5,15.1,5,3,0.63,47,12,5.8,0,1,0,307,"Indianapolis, IN",TRUE,Villanova
2021,64,Purdue,North Texas,4,11.6,8,7,0.53,13,13,7.2,1,4,0.2,101,"Indianapolis, IN",FALSE,North Texas
2021,64,Texas Tech,Utah State,6,14.4,5,11,0.31,45,11,8.5,2,3,0.4,111,"Bloomington, IN",TRUE,Texas Tech
2021,64,Arkansas,Colgate,3,13.5,9,7,0.56,23,14,8.5,0,1,0,279,"Bloomington, IN",TRUE,Arkansas
2021,64,Florida,Virginia Tech,7,10.3,5,6,0.45,27,10,9.6,4,5,0.44,76,"Indianapolis, IN",TRUE,Florida
